Date,Prediction
2020-03-09,283.04998779296875
2020-03-11,283.04998779296875
2020-03-12,283.04998779296875
2020-03-13,283.04998779296875
2020-03-16,283.04998779296875
2020-03-17,283.04998779296875
2020-03-18,283.04998779296875
2020-03-19,283.04998779296875
2020-03-20,283.04998779296875
2020-03-23,283.04998779296875
2020-03-24,283.04998779296875
2020-03-25,283.04998779296875
2020-03-26,283.04998779296875
2020-03-27,283.04998779296875
2020-03-30,283.04998779296875
2020-03-31,283.04998779296875
2020-04-01,283.04998779296875
2020-04-03,283.04998779296875
2020-04-07,283.04998779296875
2020-04-08,283.04998779296875
2020-04-09,283.04998779296875
2020-04-13,283.04998779296875
2020-04-15,283.04998779296875
2020-04-16,283.04998779296875
2020-04-17,283.04998779296875
2020-04-20,283.04998779296875
2020-04-21,283.04998779296875
2020-04-22,283.04998779296875
2020-04-23,283.04998779296875
2020-04-24,283.04998779296875
2020-04-27,283.04998779296875
2020-04-28,283.04998779296875
2020-04-29,283.04998779296875
2020-04-30,283.04998779296875
2020-05-04,283.04998779296875
2020-05-05,283.04998779296875
2020-05-06,283.04998779296875
2020-05-07,283.04998779296875
2020-05-08,283.04998779296875
2020-05-11,283.04998779296875
2020-05-12,283.04998779296875
2020-05-13,283.04998779296875
2020-05-14,283.04998779296875
2020-05-15,283.04998779296875
2020-05-18,283.04998779296875
2020-05-19,283.04998779296875
2020-05-20,283.04998779296875
2020-05-21,283.04998779296875
2020-05-22,283.04998779296875
2020-05-26,283.04998779296875
2020-05-27,283.04998779296875
2020-05-28,283.04998779296875
2020-05-29,283.04998779296875
2020-06-01,283.04998779296875
2020-06-02,283.04998779296875
2020-06-03,283.04998779296875
2020-06-04,283.04998779296875
2020-06-05,283.04998779296875
2020-06-08,283.04998779296875
2020-06-09,283.04998779296875
2020-06-10,283.04998779296875
2020-06-11,283.04998779296875
2020-06-12,283.04998779296875
2020-06-15,283.04998779296875
2020-06-16,283.04998779296875
2020-06-17,283.04998779296875
2020-06-18,283.04998779296875
2020-06-19,283.04998779296875
2020-06-22,283.04998779296875
2020-06-23,283.04998779296875
2020-06-24,283.04998779296875
2020-06-25,283.04998779296875
2020-06-26,283.04998779296875
2020-06-29,283.04998779296875
2020-06-30,283.04998779296875
2020-07-01,283.04998779296875
2020-07-02,283.04998779296875
2020-07-03,283.04998779296875
2020-07-06,283.04998779296875
2020-07-07,283.04998779296875
2020-07-08,283.04998779296875
2020-07-09,283.04998779296875
2020-07-10,283.04998779296875
2020-07-13,283.04998779296875
2020-07-14,283.04998779296875
2020-07-15,283.04998779296875
2020-07-16,283.04998779296875
2020-07-17,283.04998779296875
2020-07-20,283.04998779296875
2020-07-21,283.04998779296875
2020-07-22,283.04998779296875
2020-07-23,283.04998779296875
2020-07-24,283.04998779296875
2020-07-27,283.04998779296875
2020-07-28,283.04998779296875
2020-07-29,283.04998779296875
2020-07-30,283.04998779296875
2020-07-31,283.04998779296875
2020-08-03,283.04998779296875
2020-08-04,283.04998779296875
2020-08-05,283.04998779296875
2020-08-06,283.04998779296875
2020-08-07,283.04998779296875
2020-08-10,283.04998779296875
2020-08-11,283.04998779296875
2020-08-12,283.04998779296875
2020-08-13,283.04998779296875
2020-08-14,283.04998779296875
2020-08-17,283.04998779296875
2020-08-18,283.04998779296875
2020-08-19,283.04998779296875
2020-08-20,283.04998779296875
2020-08-21,283.04998779296875
2020-08-24,283.04998779296875
2020-08-25,283.04998779296875
2020-08-26,283.04998779296875
2020-08-27,283.04998779296875
2020-08-28,283.04998779296875
2020-08-31,283.04998779296875
2020-09-01,283.04998779296875
2020-09-02,283.04998779296875
2020-09-03,283.04998779296875
2020-09-04,283.04998779296875
2020-09-07,283.04998779296875
2020-09-08,283.04998779296875
2020-09-09,283.04998779296875
2020-09-10,283.04998779296875
2020-09-11,283.04998779296875
2020-09-14,283.04998779296875
2020-09-15,283.04998779296875
2020-09-16,283.04998779296875
2020-09-17,283.04998779296875
2020-09-18,283.04998779296875
2020-09-21,283.04998779296875
2020-09-22,283.04998779296875
2020-09-23,283.04998779296875
2020-09-24,283.04998779296875
2020-09-28,283.04998779296875
