Date,Prediction
2017-03-29,11.574992541404677
2017-03-30,11.629676453166281
2017-03-31,11.66955148806361
2017-04-03,11.69862801819545
2017-04-04,11.719830372166667
2017-04-05,11.735290945071428
2017-04-06,11.746564660945992
2017-04-07,11.754785356932056
2017-04-10,11.760779817254383
2017-04-11,11.765150925809774
2017-04-12,11.768338300314841
2017-04-13,11.770662506201473
2017-04-17,11.772357297006529
2017-04-18,11.773593123784794
2017-04-19,11.774494277969323
2017-04-20,11.775151391796742
2017-04-21,11.775630553509131
2017-04-24,11.775979954080297
2017-04-25,11.776234733951004
2017-04-26,11.776420517226345
2017-04-27,11.776555988781853
2017-04-28,11.776654773466953
2017-05-01,11.77672680640386
2017-05-02,11.77677933219765
2017-05-03,11.776817633551612
2017-05-04,11.776845562567235
2017-05-05,11.776865928163563
2017-05-08,11.77688077858004
2017-05-09,11.776891607375132
2017-05-10,11.776899503638736
2017-05-11,11.776905261525775
2017-05-12,11.77690946012714
2017-05-15,11.776912521710896
2017-05-16,11.776914754191258
2017-05-17,11.776916382096605
2017-05-18,11.776917569151086
2017-05-19,11.776918434740935
2017-05-22,11.776919065921556
2017-05-23,11.776919526172998
2017-05-24,11.776919861784364
2017-05-25,11.776920106509266
2017-05-26,11.776920284960545
2017-05-30,11.776920415085671
2017-05-31,11.776920509971788
2017-06-01,11.776920579161922
2017-06-02,11.77692062961477
2017-06-05,11.776920666404548
2017-06-06,11.776920693231336
2017-06-07,11.776920712793197
2017-06-08,11.776920727057538
2017-06-09,11.77692073745897
2017-06-12,11.776920745043606
2017-06-13,11.776920750574256
2017-06-14,11.776920754607158
2017-06-15,11.776920757547915
2017-06-16,11.77692075969229
2017-06-19,11.77692076125595
2017-06-20,11.776920762396156
2017-06-21,11.776920763227585
2017-06-22,11.776920763833855
2017-06-23,11.776920764275943
2017-06-26,11.776920764598309
2017-06-27,11.776920764833376
2017-06-28,11.776920765004784
2017-06-29,11.776920765129773
2017-06-30,11.776920765220915
2017-07-03,11.776920765287374
2017-07-05,11.776920765335836
2017-07-06,11.776920765371173
2017-07-07,11.776920765396941
2017-07-10,11.776920765415731
2017-07-11,11.776920765429432
2017-07-12,11.776920765439423
2017-07-13,11.776920765446707
2017-07-14,11.77692076545202
2017-07-17,11.776920765455895
2017-07-18,11.77692076545872
2017-07-19,11.77692076546078
2017-07-20,11.776920765462283
2017-07-21,11.776920765463379
2017-07-24,11.776920765464178
2017-07-25,11.77692076546476
2017-07-26,11.776920765465185
2017-07-27,11.776920765465494
2017-07-28,11.77692076546572
2017-07-31,11.776920765465885
2017-08-01,11.776920765466006
2017-08-02,11.776920765466093
2017-08-03,11.776920765466157
2017-08-04,11.776920765466203
2017-08-07,11.776920765466237
2017-08-08,11.776920765466262
2017-08-09,11.77692076546628
2017-08-10,11.776920765466292
2017-08-11,11.7769207654663
2017-08-14,11.776920765466308
2017-08-15,11.776920765466313
2017-08-16,11.776920765466317
2017-08-17,11.77692076546632
2017-08-18,11.776920765466322
2017-08-21,11.776920765466324
2017-08-22,11.776920765466325
2017-08-23,11.776920765466325
2017-08-24,11.776920765466325
2017-08-25,11.776920765466325
2017-08-28,11.776920765466325
2017-08-29,11.776920765466325
2017-08-30,11.776920765466325
2017-08-31,11.776920765466325
2017-09-01,11.776920765466325
2017-09-05,11.776920765466325
2017-09-06,11.776920765466325
2017-09-07,11.776920765466325
2017-09-08,11.776920765466325
2017-09-11,11.776920765466325
2017-09-12,11.776920765466325
2017-09-13,11.776920765466325
2017-09-14,11.776920765466325
2017-09-15,11.776920765466325
2017-09-18,11.776920765466325
2017-09-19,11.776920765466325
2017-09-20,11.776920765466325
2017-09-21,11.776920765466325
2017-09-22,11.776920765466325
2017-09-25,11.776920765466325
2017-11-01,11.776920765466325
2017-11-02,11.776920765466325
2017-12-12,11.776920765466325
2017-12-13,11.776920765466325
2017-12-14,11.776920765466325
2017-12-15,11.776920765466325
2017-12-18,11.776920765466325
2017-12-19,11.776920765466325
2017-12-20,11.776920765466325
2018-01-08,11.776920765466325
2018-01-09,11.776920765466325
2018-01-10,11.776920765466325
2018-01-22,11.776920765466325
2018-01-23,11.776920765466325
