Date,Prediction
2017-03-24,1.5683475069173218
2017-03-27,1.591065483971108
2017-03-28,1.5937408747582686
2017-03-29,1.5948668033696975
2017-03-30,1.5522621913487427
2017-03-31,1.5540511232534493
2017-04-03,1.5242819468355073
2017-04-04,1.5262312142929328
2017-04-05,1.5054140907127824
2017-04-06,1.507264413389595
2017-04-07,1.4926958474824852
2017-04-10,1.4943299808392596
2017-04-11,1.484126390249062
2017-04-12,1.4855068854943252
2017-04-13,1.4783548967004012
2017-04-17,1.4794865537076
2017-04-18,1.4744696571756877
2017-04-19,1.475377408498761
2017-04-20,1.4718555294395494
2017-04-21,1.4725718451175087
2017-04-24,1.470097611501365
2017-04-25,1.4706556827143034
2017-04-26,1.4689161624306295
2017-04-27,1.4693465175164304
2017-04-28,1.4681226456062986
2017-05-01,1.46845174438619
2017-05-02,1.467590046802115
2017-05-03,1.4678399656774421
2017-05-04,1.4672328371652301
2017-05-05,1.467421513845066
2017-05-08,1.4669934512209117
2017-05-09,1.4671351796804089
2017-05-10,1.466833164547407
2017-05-11,1.4669391668649192
2017-05-12,1.4667259417592557
2017-05-15,1.466804925455792
2017-05-16,1.4666542892031573
2017-05-17,1.4667129469145035
2017-05-18,1.466606460233299
2017-05-19,1.4666498959343732
2017-05-22,1.4665745727576862
2017-05-23,1.4666066535259357
2017-05-24,1.4665533418548993
2017-05-25,1.466576981440903
2017-05-26,1.4665392269193158
2017-05-30,1.4665566103684586
2017-05-31,1.466529858060758
2017-06-01,1.4665426172391638
2017-06-02,1.4665236505434334
2017-06-05,1.4665329998232686
2017-06-06,1.4665195457816673
2017-06-07,1.466526386009341
2017-06-08,1.4665168374680086
2017-06-09,1.466521835050239
2017-06-12,1.4665150549360086
2017-06-13,1.4665187016307475
2017-06-14,1.4665138849786392
2017-06-15,1.4665165428629434
2017-06-16,1.4665131194879066
2017-06-19,1.466515054625978
2017-06-20,1.4665126204199628
2017-06-21,1.4665140279727003
2017-06-22,1.466512296376382
2017-06-23,1.466513319264208
2017-06-26,1.4665120869672466
2017-06-27,1.4665128296996977
2017-06-28,1.4665119523826695
2017-06-29,1.4665124912791612
2017-06-30,1.4665118664469778
2017-07-03,1.466512257172532
2017-07-05,1.466511811999124
2017-07-06,1.4665120951086195
2017-07-07,1.466511777825092
2017-07-10,1.4665119828345294
2017-07-11,1.4665117566244334
2017-07-12,1.4665119049953954
2017-07-13,1.4665117436649178
2017-07-14,1.466511850988917
2017-07-17,1.466511735894347
2017-07-18,1.4665118134892972
2017-07-19,1.4665117313555922
2017-07-20,1.4665117874311053
2017-07-21,1.4665117288023715
2017-07-24,1.4665117693093255
2017-07-25,1.4665117274476427
2017-07-26,1.4665117566968933
2017-07-27,1.4665117267994092
2017-07-28,1.466511747911929
2017-07-31,1.4665117265539918
2017-08-01,1.4665117417880658
2017-08-02,1.4665117265269685
2017-08-03,1.4665117375158228
2017-08-04,1.466511726608723
2017-08-07,1.466511734532972
2017-08-08,1.466511726736012
2017-08-09,1.4665117324487125
2017-08-10,1.4665117268739105
2017-08-11,1.4665117309911888
2017-08-14,1.4665117270044523
2017-08-15,1.4665117299711383
2017-08-16,1.4665117271195585
2017-08-17,1.4665117292566952
2017-08-18,1.4665117272166979
2017-08-21,1.46651172875591
2017-08-22,1.4665117272962696
2017-08-23,1.4665117284046172
2017-08-24,1.466511727360063
2017-08-25,1.466511728158003
2017-08-28,1.4665117274103818
2017-08-29,1.4665117279847448
2017-08-30,1.4665117274495718
2017-08-31,1.4665117278629323
2017-09-01,1.4665117274797848
2017-09-05,1.466511727777227
2017-09-06,1.466511727502884
2017-09-07,1.4665117277168829
2017-09-08,1.4665117275204225
2017-09-11,1.466511727674365
2017-09-12,1.466511727533661
2017-09-13,1.4665117276443869
2017-09-14,1.4665117275436041
2017-09-15,1.4665117276232356
2017-09-18,1.46651172755104
2017-09-19,1.4665117276083024
2017-09-20,1.46651172755658
2017-09-21,1.4665117275977524
2017-09-22,1.466511727560694
2017-09-25,1.4665117275902944
