Date,Prediction
2019-04-22,1710.576084638872
2019-04-23,1708.6360628989955
2019-04-24,1709.067930662983
2019-04-25,1710.5380084081987
2019-04-26,1709.4972249413274
2019-04-30,1708.7083204677522
2019-05-02,1709.9619456139308
2019-05-03,1710.0686347276946
2019-05-06,1708.9429411897854
2019-05-07,1709.364114748022
2019-05-08,1710.139410712163
2019-05-09,1709.4243411783757
2019-05-10,1709.0839913631612
2019-05-13,1709.8534192921825
2019-05-14,1709.7953080869463
2019-05-15,1709.1607057162264
2019-05-16,1709.4997430691233
2019-05-17,1709.8905230073892
2019-05-20,1709.4211993443164
2019-05-21,1709.2992618296553
2019-05-22,1709.7580466975016
2019-05-23,1709.6538016298073
2019-05-24,1709.3071147626938
2019-05-27,1709.5546220612791
2019-05-28,1709.7397298741457
2019-05-29,1709.4427461461062
2019-05-30,1709.4190039443947
2019-05-31,1709.6849825374877
2019-06-03,1709.5842079587444
2019-06-04,1709.401595149843
2019-06-06,1709.5713725231935
2019-06-07,1709.6509231933348
2019-06-10,1709.46881266427
2019-06-11,1709.483429519524
2019-06-12,1709.6332360025874
2019-06-13,1709.5524293124804
2019-06-14,1709.460532271953
2019-06-17,1709.571825752525
2019-06-18,1709.6000791673894
2019-06-19,1709.491586561676
2019-06-20,1709.5167384116291
2019-06-21,1709.5984944233235
2019-06-24,1709.5396384265375
2019-06-25,1709.49620872881
2019-06-26,1709.5665620881418
2019-06-27,1709.571824697571
2019-06-28,1709.5089810420948
2019-07-01,1709.5330895600562
2019-07-02,1709.5761002628076
2019-07-03,1709.535792096253
2019-07-04,1709.5172016189053
2019-07-05,1709.560302924323
2019-07-08,1709.556639567311
2019-07-09,1709.5212767613707
2019-07-10,1709.5405346762714
2019-07-11,1709.5621442233244
2019-07-12,1709.5357534401564
2019-07-15,1709.5292099676344
2019-07-16,1709.554865424985
2019-07-17,1709.548799437175
2019-07-18,1709.5295203201126
2019-07-19,1709.5435151874865
2019-07-22,1709.5537036811675
2019-07-23,1709.5370379529863
2019-07-24,1709.535876712527
2019-07-25,1709.5507245914055
2019-07-26,1709.544957972202
2019-07-29,1709.5348281160161
2019-07-30,1709.5443975912224
2019-07-31,1709.5487413319688
2019-08-01,1709.5385405358043
2019-08-02,1709.53945571921
2019-08-05,1709.5478030951308
2019-08-06,1709.543213927034
2019-08-07,1709.5381327492564
2019-08-08,1709.5443905278496
2019-08-09,1709.5459052779363
2019-08-13,1709.5398386418015
2019-08-14,1709.5413010121197
2019-08-16,1709.545847118937
2019-08-19,1709.542519585085
2019-08-20,1709.5401296085117
2019-08-21,1709.5440773714179
2019-08-22,1709.544332284586
